+---------------------------------------+---------+-------------+-----------+------------+----------+-----------+-------------------------------------------------+
| Name                                  | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                           |
| borax_solution                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_borax_solution               |
| boric_acid                            |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_boric_acid                   |
| boron                                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron                        |
| boron10                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron10                      |
| boron11                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron11                      |
| boron_nitride_solution                |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_boron_nitride_solution       |
| brass                                 |    2000 |         470 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_brass                         |
| bronze                                |    2000 |         475 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_bronze                        |
| cactus_juice                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| calcium_sulfate_solution              |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_calcium_sulfate_solution     |
| californium_249                       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_249_fluoride              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_249_fluoride_flibe        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_250                       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_250_fluoride              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_250_fluoride_flibe        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_251                       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_251_fluoride              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_251_fluoride_flibe        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_252                       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_252_fluoride              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| californium_252_fluoride_flibe        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| carbon_dioxide                        |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_carbon_dioxide               |
| carbon_monoxide                       |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_carbon_monoxide              |
| carrot_juice                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| chocolate_liquor                      |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_chocolate_liquor             |
| chorus_fruit_juice                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| clay                                  |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_clay                          |
| clean_water                           |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| coal                                  |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                               |
| cobalt                                |    2000 |         950 |     10000 |         10 | RARE     |     false | tconstruct:molten_cobalt                        |
| cocoa_butter                          |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_cocoa_butter                 |
| concrete                              |    2400 |         300 |      4000 |          0 | COMMON   |     false | immersiveengineering:fluidconcrete              |
| condensate_water                      |    1000 |         300 |       850 |          0 | COMMON   |     false | nuclearcraft:fluid_condensate_water             |
| constantan                            |    1000 |         650 |      1000 |          0 | COMMON   |     false | immersiveengineering:molten_constantan          |
| copper                                |    2000 |         542 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_copper                        |
| copper_nak                            |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                               |
| copper_nak_hot                        |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                               |
| corium                                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_corium                       |
| creeper_acid                          |     100 |         300 |      1000 |          0 | COMMON   |     false | techguns:block_creeper_acid                     |
| creosote                              |    1100 |         300 |      2000 |          0 | COMMON   |     false | immersiveengineering:fluidcreosote              |
| crude_oil                             |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil               |
| cryotheum                             |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum               |
| cryotheum_nak                         |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                               |
| cryotheum_nak_hot                     |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                               |
| crystal_water                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | thaumadditions:crystal_water                    |
| curium_243                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_243_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_243_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_245                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_245_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_245_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_246                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_246_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_246_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_247                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_247_fluoride                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| curium_247_fluoride_flibe             |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| dark_chocolate                        |    1325 |         330 |      5000 |          0 | COMMON   |     false | nuclearcraft:fluid_dark_chocolate               |
| deadblood                             |    1000 |         300 |      3000 |          0 | COMMON   |     false | srparasites:deadblood                           |
| depleted_fuel_hea_242                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hea_242_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hea_242_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_heb_248                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_heb_248_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_heb_248_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecf_249                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecf_249_fluoride       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecf_249_fluoride_flibe |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecf_251                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecf_251_fluoride       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecf_251_fluoride_flibe |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecm_243                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecm_243_fluoride       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecm_243_fluoride_flibe |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecm_245                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecm_245_fluoride       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecm_245_fluoride_flibe |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecm_247                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecm_247_fluoride       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hecm_247_fluoride_flibe |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hen_236                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hen_236_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hen_236_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hep_239                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hep_239_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hep_239_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hep_241                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hep_241_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_hep_241_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_heu_233                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_heu_233_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_heu_233_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_heu_235                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_heu_235_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_heu_235_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lea_242                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lea_242_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lea_242_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_leb_248                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_leb_248_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_leb_248_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecf_249                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecf_249_fluoride       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecf_249_fluoride_flibe |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecf_251                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecf_251_fluoride       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecf_251_fluoride_flibe |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecm_243                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecm_243_fluoride       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecm_243_fluoride_flibe |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecm_245                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecm_245_fluoride       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecm_245_fluoride_flibe |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecm_247                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecm_247_fluoride       |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lecm_247_fluoride_flibe |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_len_236                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_len_236_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_len_236_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lep_239                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lep_239_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lep_239_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lep_241                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lep_241_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_lep_241_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_leu_233                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_leu_233_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_leu_233_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_leu_235                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_leu_235_fluoride        |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_leu_235_fluoride_flibe  |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_tbu                     |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_tbu_fluoride            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| depleted_fuel_tbu_fluoride_flibe      |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| deuterium                             |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_deuterium                    |
| diamond                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| diamond_nak                           |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                               |
| diamond_nak_hot                       |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                               |
| diborane                              |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_diborane                     |
| diesel                                |     789 |         300 |      1750 |          0 | COMMON   |     false | immersivepetroleum:fluid_diesel                 |
| dirt                                  |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dirt                          |
| distwater                             |    1000 |         300 |      1000 |          0 | COMMON   |     false | immersivetech:fluiddistwater                    |
| dragonsteel_fire                      |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dragonsteel_fire              |
| dragonsteel_ice                       |    2000 |         769 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dragonsteel_ice               |
| drinkable_brew                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| dye_fluid                             |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| e_fuel                                |     300 |         300 |      1000 |          0 | UNCOMMON |     false | contenttweaker:e_fuel                           |
| electrum                              |    2000 |         500 |     10000 |         10 | EPIC     |     false | tconstruct:molten_electrum                      |
| emerald                               |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| emerald_nak                           |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                               |
| emerald_nak_hot                       |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                               |
| ender                                 |    4000 |         300 |      2500 |          3 | UNCOMMON |     false | thermalfoundation:fluid_ender                   |
| ender_nak                             |    5000 |         300 |     15000 |          0 | COMMON   |     false | -                                               |
| ender_nak_hot                         |    4000 |         700 |     10000 |          7 | COMMON   |     false | -                                               |
| enderium                              |    1000 |        1600 |      1000 |          0 | RARE     |     false | tconstruct:molten_enderium                      |
| enrichedlava                          |    3000 |        1300 |      6000 |         15 | COMMON   |     false | advancedrocketry:enrichedlavafluid              |
| ethanol                               |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidethanol               |
| ethene                                |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_ethene                       |
| exhaust_steam                         |     -10 |         500 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_exhaust_steam                |
| exhauststeam                          |    -100 |         300 |       500 |          0 | COMMON   |      true | immersivetech:exhauststeam                      |
| experience                            |    -200 |         300 |       200 |         12 | UNCOMMON |      true | -                                               |
| ferroboron                            |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_ferroboron                   |
| fiery_essence                         |    1000 |        1000 |      1000 |          0 | COMMON   |     false | twilightforest:fiery_essence                    |
| fierymetal                            |    1000 |        1000 |      1000 |         15 | COMMON   |     false | twilightforest:molten_fierymetal                |
| fish_oil                              |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                               |
| flibe                                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_flibe                        |
| fluegas                               |    -100 |         300 |       500 |          0 | COMMON   |      true | immersivetech:fluidfluegas                      |
| fluid_quicksilver                     |   13593 |         300 |      1560 |          0 | COMMON   |     false | thaumicwonders:fluid_quicksilver                |
| fluorine                              |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_fluorine                     |
| fluorite_water                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_fluorite_water               |
| fluoromethane                         |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_fluoromethane                |
| flux_goo                              |       8 |         300 |      6000 |          0 | COMMON   |     false | thaumcraft:flux_goo                             |
| fog                                   |       2 |         300 |        10 |          0 | COMMON   |      true | -                                               |
| formic_acid                           |    1000 |         300 |      1000 |          0 | COMMON   |     false | erebus:formic_acid                              |
| fuel_hea_242                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hea_242_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hea_242_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_heb_248                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_heb_248_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_heb_248_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecf_249                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecf_249_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecf_249_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecf_251                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecf_251_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecf_251_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecm_243                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecm_243_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecm_243_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecm_245                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecm_245_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecm_245_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecm_247                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecm_247_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hecm_247_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hen_236                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hen_236_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hen_236_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hep_239                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hep_239_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hep_239_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hep_241                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hep_241_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_hep_241_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_heu_233                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_heu_233_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_heu_233_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_heu_235                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_heu_235_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_heu_235_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lea_242                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lea_242_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lea_242_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_leb_248                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_leb_248_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_leb_248_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecf_249                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecf_249_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecf_249_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecf_251                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecf_251_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecf_251_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecm_243                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecm_243_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecm_243_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecm_245                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecm_245_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecm_245_fluoride_flibe          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecm_247                         |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
| fuel_lecm_247_fluoride                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | -                                               |
